@relation cpu

@attribute CPU8ALL numeric
@attribute CPU9ALL numeric
@attribute CPU10ALL numeric
@attribute CPU8USE numeric
@attribute CPU9USE numeric
@attribute CPU10USE numeric
@attribute MEM8ALL numeric
@attribute MEM9ALL numeric
@attribute MEM10ALL numeric
@attribute MEM8USE numeric
@attribute MEM9USE numeric
@attribute MEM10USE numeric
@attribute STOR8ALL numeric
@attribute STOR9ALL numeric
@attribute STOR10ALL numeric
@attribute STOR8USE numeric
@attribute STOR9USE numeric
@attribute STOR10USE numeric
@attribute SLACpu numeric
@attribute SLAMemory numeric
@attribute SLAStorage numeric
@attribute EVAL numeric

@data
30,30,50,40,30,30,10,10,50,50,40,40,30,30,90,20,20,40,20,20,50,-14.678431
20,20,60,50,40,20,30,30,40,30,40,30,10,10,60,30,30,30,30,10,40,-24.345098
60,60,90,50,40,60,60,60,80,40,40,40,40,40,90,50,50,50,30,10,40,-31.513725
0,0,30,10,10,10,0,0,10,20,20,20,0,0,40,10,10,10,30,10,40,-31.941176
0,0,70,10,10,10,0,0,30,20,20,20,0,0,80,10,10,10,30,10,40,-31.941176
60,60,90,50,60,50,60,60,80,40,40,40,40,40,90,40,50,40,30,10,40,-31.513725
50,50,90,30,30,30,60,60,80,40,30,40,40,40,90,20,30,30,30,10,40,-31.490196
40,40,80,30,30,30,40,40,60,30,50,40,40,40,80,30,30,30,30,10,40,-34.941176
20,20,60,10,10,10,10,10,30,20,20,10,30,30,70,10,10,10,30,10,40,-34.513725
0,0,30,10,0,10,0,0,10,20,20,20,0,0,40,10,10,10,30,10,40,-34.509804
0,0,70,10,0,10,0,0,30,20,20,20,0,0,80,10,10,10,30,10,40,-34.509804
0,0,20,20,20,30,0,0,50,10,0,0,0,0,10,10,10,10,20,50,10,-29.941176
50,50,80,50,40,50,50,50,100,30,20,30,50,50,70,30,30,30,20,50,10,-29.447059
50,50,80,60,50,50,60,60,90,30,30,40,30,30,90,30,20,30,20,20,50,-17.486275
40,40,70,60,50,40,40,40,100,20,20,20,40,40,60,40,30,40,20,50,10,-34.517647
30,30,90,0,0,0,30,30,90,0,0,0,10,10,70,0,0,0,50,50,50,0.462745
0,0,50,0,0,0,0,0,60,0,0,0,0,0,20,0,0,0,50,50,10,-5.556863
0,0,10,0,0,0,0,0,60,0,0,0,0,0,30,0,0,0,10,50,30,-5.776471
20,20,40,30,20,40,30,30,90,40,40,40,30,30,60,20,20,20,10,50,30,-7.694118
30,30,60,30,30,30,50,50,80,40,40,50,30,30,90,30,20,20,20,20,50,-23.533333
